['12 историй о настоящей любви (сборник)'],2016 
"['Красивая, но одинокая']",2014
['Красиво жить очень хочется'],1994
['Красивый и обаятельный'],2010
['Краски лета'],2005
['Краски мечты'],No data
['Красная туфелька'],2001
['Красное платье '],2014
['Красный бутон'],No data
['Красота – самый веский аргумент'],2003
['Крем-брюле на десерт'],2002
['Крепкий орешек'],2006
['Крепость из песка'],2002
['Крест на прошлом'],2007
['Кровать для новобрачных'],2004
['Кровные узы'],2008
['Кроткая женщина'],2003
['Крошка Сэм'],2002
['Круги судьбы'],No data
['Кружева страстей'],2006
['Кружево'],No data
['Кружение времени'],2008
"['Кружится, кружится карусель…']",No data
['Круиз любви'],2010
['Круиз с продолжением'],2011
['Круиз с сюрпризом'],2007
['Крутой обрыв'],2001
['Крутой поворот'],2008
['Крутой поворот'],2009
['Крутой техасец'],2014
['Крутые берега'],No data
['Крылатые (СИ)'],No data
['Крылья бабочки'],2009
['Крылья любви'],2007
['Крылья ночи'],No data
['Кто бы мог подумать'],No data
